,Average:accuracy,Average:score,Clinton:accuracy,Clinton:score,Clinton:time,Clinton:memory,Trump:accuracy,Trump:score,Trump:time,Trump:memory,Greenpeace:accuracy,Greenpeace:score,Greenpeace:time,Greenpeace:memory,Climate:accuracy,Climate:score,Climate:time,Climate:memory
Sorted by accuracy,,,,,,,,,,,,,,,,,,
,45.93315,4.04875,47.0218,3.536,0.0000604,2926472,47.1699,3.8074,0.0000429,3577424,43.4876,3.9863,0.0000567,2098072,46.0533,4.8653,0.0000342,2620048
,45.6363,0.1521,46.6224,0.1536,0.00297,31048576,46.9341,0.1468,0.00328,31189152,43.5647,0.1624,0.00233,30948880,45.424,0.1456,0.00313,31071752
,45.501625,0.076625,46.0243,0.0763,0.00325,112010384,46.5191,0.0796,0.00304,112560392,43.9549,0.0725,0.0033,111451360,45.5082,0.0781,0.00304,111918520
,44.8563,0.08275,45.9984,0.0821,0.00269,116608744,45.5513,0.084,0.00251,117143760,42.9983,0.0826,0.00234,116027904,44.8772,0.0823,0.00255,116495432
,44.318425,0.093875,45.5953,0.0976,0.00141,155079920,45.6671,0.0937,0.00153,155081200,42.1031,0.0897,0.00143,154712152,43.9082,0.0945,0.00139,154992080
,43.676825,1.071925,44.2241,0.9189,0.000098,23640992,44.6995,1.3025,0.0000498,23658616,42.7996,1.0354,0.0000726,23546688,42.9841,1.0309,0.0000737,23589592
,41.849575,5.0768,42.9657,6.062,0.00000124,40524200,43.4386,4.4506,0.00000235,40587136,39.0862,5.2869,0.00000135,40361432,41.9078,4.5077,0.00000214,40476592
,40.53705,2.850525,41.549,2.691,0.0000373,6386456,41.1118,2.7907,0.000034,6386440,40.618,2.9544,0.0000296,6389472,38.8694,2.966,0.0000269,6386520
,34.274225,3.530125,37.7529,4.1347,0.00000113,73695360,35.2132,3.9597,0.00000107,73966856,32.3077,2.9689,0.00000161,73457424,31.8231,3.0572,0.00000147,73678216
,30.73655,0.067425,34.3884,0.0714,0.00309,75203816,39.2327,0.0753,0.00359,75511936,20.9132,0.0582,0.00172,74905616,28.4119,0.0648,0.00256,75143744
,20.9772,1.107325,24.0259,1.2797,0.00000213,165542856,21.1898,1.1007,0.00000223,165951352,17.5361,0.9342,0.00000214,164705752,21.157,1.1147,0.00000218,165075512
,20.176875,0.122075,21.3843,0.1258,0.000387,74704184,19.4041,0.1143,0.000386,74698096,19.9743,0.122,0.000358,74754016,19.9448,0.1262,0.000334,74750920
,19.370775,1.437625,21.467,1.5749,0.00000209,88975816,21.839,1.8704,0.00000153,89379224,15.9089,1.0511,0.00000258,88684280,18.2682,1.2541,0.00000238,88972792
,17.553125,0.37105,17.0798,0.4008,0.0000288,63062232,17.8548,0.4107,0.0000299,63136896,18.2869,0.3082,0.000056,62852144,16.991,0.3645,0.0000345,62941520
Sorted by score,,,,,,,,,,,,,,,,,,
,41.849575,5.0768,42.9657,6.062,0.00000124,40524200,43.4386,4.4506,0.00000235,40587136,39.0862,5.2869,0.00000135,40361432,41.9078,4.5077,0.00000214,40476592
,45.93315,4.04875,47.0218,3.536,0.0000604,2926472,47.1699,3.8074,0.0000429,3577424,43.4876,3.9863,0.0000567,2098072,46.0533,4.8653,0.0000342,2620048
,34.274225,3.530125,37.7529,4.1347,0.00000113,73695360,35.2132,3.9597,0.00000107,73966856,32.3077,2.9689,0.00000161,73457424,31.8231,3.0572,0.00000147,73678216
,40.53705,2.850525,41.549,2.691,0.0000373,6386456,41.1118,2.7907,0.000034,6386440,40.618,2.9544,0.0000296,6389472,38.8694,2.966,0.0000269,6386520
,19.370775,1.437625,21.467,1.5749,0.00000209,88975816,21.839,1.8704,0.00000153,89379224,15.9089,1.0511,0.00000258,88684280,18.2682,1.2541,0.00000238,88972792
,20.9772,1.107325,24.0259,1.2797,0.00000213,165542856,21.1898,1.1007,0.00000223,165951352,17.5361,0.9342,0.00000214,164705752,21.157,1.1147,0.00000218,165075512
,43.676825,1.071925,44.2241,0.9189,0.000098,23640992,44.6995,1.3025,0.0000498,23658616,42.7996,1.0354,0.0000726,23546688,42.9841,1.0309,0.0000737,23589592
,17.553125,0.37105,17.0798,0.4008,0.0000288,63062232,17.8548,0.4107,0.0000299,63136896,18.2869,0.3082,0.000056,62852144,16.991,0.3645,0.0000345,62941520
,45.6363,0.1521,46.6224,0.1536,0.00297,31048576,46.9341,0.1468,0.00328,31189152,43.5647,0.1624,0.00233,30948880,45.424,0.1456,0.00313,31071752
,20.176875,0.122075,21.3843,0.1258,0.000387,74704184,19.4041,0.1143,0.000386,74698096,19.9743,0.122,0.000358,74754016,19.9448,0.1262,0.000334,74750920
,44.318425,0.093875,45.5953,0.0976,0.00141,155079920,45.6671,0.0937,0.00153,155081200,42.1031,0.0897,0.00143,154712152,43.9082,0.0945,0.00139,154992080
,44.8563,0.08275,45.9984,0.0821,0.00269,116608744,45.5513,0.084,0.00251,117143760,42.9983,0.0826,0.00234,116027904,44.8772,0.0823,0.00255,116495432
,45.501625,0.076625,46.0243,0.0763,0.00325,112010384,46.5191,0.0796,0.00304,112560392,43.9549,0.0725,0.0033,111451360,45.5082,0.0781,0.00304,111918520
,30.73655,0.067425,34.3884,0.0714,0.00309,75203816,39.2327,0.0753,0.00359,75511936,20.9132,0.0582,0.00172,74905616,28.4119,0.0648,0.00256,75143744
